[2025-04-09 01:18:07,079] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,186] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,187] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,289] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,290] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,393] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,394] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,498] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,498] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,601] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,603] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,707] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,707] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,810] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,810] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:07,914] ERROR: Not connected to tracker.
[2025-04-09 01:18:07,914] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,016] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,016] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,120] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,120] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,222] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,222] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,326] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,327] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,429] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,429] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,533] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,533] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,636] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,636] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,741] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,742] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,846] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,847] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:08,951] ERROR: Not connected to tracker.
[2025-04-09 01:18:08,952] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,055] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,055] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,160] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,160] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,264] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,265] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,368] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,369] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,473] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,474] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,577] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,578] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,680] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,680] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,784] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,784] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,887] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,888] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:09,991] ERROR: Not connected to tracker.
[2025-04-09 01:18:09,991] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,095] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,095] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,199] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,199] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,302] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,303] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,406] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,406] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,509] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,510] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,613] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,614] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,719] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,719] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,746] INFO: Sending message: chào nha
[2025-04-09 01:18:10,747] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,747] INFO: No peers available for P2P broadcast.
[2025-04-09 01:18:10,822] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,823] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:10,926] ERROR: Not connected to tracker.
[2025-04-09 01:18:10,927] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,031] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,031] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,135] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,136] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,240] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,241] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,346] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,346] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,449] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,449] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,553] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,554] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,658] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,659] INFO: No peers available for UDP broadcast.
[2025-04-09 01:18:11,762] ERROR: Not connected to tracker.
[2025-04-09 01:18:11,762] INFO: No peers available for UDP broadcast.
